"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,83.188742,937296.513222,550393.728849,4045.913500,2016.990388,2031.327039
2,-1,89.639995,83.039044,937309.186425,550393.689151,4051.260200,2016.990505,2031.968204
3,-1,89.279997,82.850840,937321.860284,550393.679308,4058.000799,2017.100111,2032.904882
4,-1,88.919997,82.663068,937334.532503,550393.480162,4064.718100,2017.100036,2033.751717
5,-1,88.560001,82.475758,937347.203081,550393.201291,4071.424499,2017.099851,2034.618839
6,-1,88.199995,82.288934,937359.872019,550392.843024,4078.119300,2017.099885,2035.506349
7,-1,87.839996,82.102629,937372.534067,550392.295781,4084.786200,2016.990451,2036.303218
8,-1,87.480001,81.916847,937385.196443,550391.778393,4091.455200,2016.990492,2037.230283
9,-1,87.119997,81.723130,937397.861116,550391.290862,4098.431500,2017.100090,2038.331380
10,-1,86.760004,81.513501,937410.516603,550390.614354,4105.971699,2017.100117,2039.430520
11,-1,86.399995,81.304730,937423.161262,550389.748870,4113.472500,2016.990489,2040.442579
12,-1,86.040001,81.096662,937435.814124,550389.022493,4120.989800,2017.099841,2041.700596
13,-1,85.680000,80.889637,937448.446645,550387.998545,4128.443700,2016.990553,2042.759584
14,-1,85.319999,80.683342,937461.089664,550387.113377,4135.914999,2017.100074,2044.063953
15,-1,84.959998,80.478105,937473.717920,550386.039560,4143.339200,2017.100000,2045.278911
16,-1,84.600000,80.306441,937486.328787,550384.777423,4149.537100,2016.990437,2046.205326
17,-1,84.240001,80.184324,937498.952777,550383.654066,4153.982000,2017.099903,2047.066305
18,-1,83.879996,80.063285,937511.558723,550382.342717,4158.372399,2017.100146,2047.819585
19,-1,83.520001,79.943286,937524.155811,550380.951972,4162.728200,2017.100133,2048.575703
20,-1,83.159996,79.811266,937547.175450,550466.444255,4183.265499,2104.685691,2138.407502
21,-1,82.800002,79.679210,937560.314531,550464.941633,4188.296000,2104.800138,2139.415678
22,-1,82.439997,79.551286,937573.429991,550463.242817,4193.153200,2104.800068,2140.291156
23,-1,82.079998,79.431700,937586.534295,550461.461653,4197.697400,2104.799993,2141.119861
24,-1,81.719999,79.313519,937599.627117,550459.598140,4202.191700,2104.799866,2141.948581
25,-1,81.359997,79.196813,937612.708127,550457.652606,4206.633400,2104.799966,2142.776770
26,-1,81.000000,79.081637,937625.758626,550455.512190,4210.998200,2104.685904,2143.487180
27,-1,80.639996,78.968091,937638.832091,550453.515147,4215.348300,2104.800136,2144.427508
28,-1,80.280002,78.853627,937666.680460,550537.764322,4236.994500,2192.500070,2234.653397
29,-1,79.920004,78.724033,937680.230302,550535.278763,4242.124700,2192.381133,2235.534172
30,-1,79.560003,78.595589,937693.806718,550532.942153,4247.261199,2192.500054,2236.660782
31,-1,79.200000,78.467911,937707.346718,550530.403116,4252.348000,2192.499854,2237.671969
32,-1,78.840003,78.341166,937720.870313,550527.779434,4257.402300,2192.499990,2238.688020
33,-1,78.480000,78.215276,937734.353553,550524.953980,4262.402200,2192.380914,2239.587204
34,-1,78.120000,78.084030,937747.866978,550522.277148,4267.670499,2192.500051,2240.785680
35,-1,77.759999,77.914518,937779.905628,550604.984332,4293.201700,2280.076288,2331.756587
36,-1,77.400002,77.736858,937793.923316,550602.023708,4300.627600,2280.199823,2333.443368
37,-1,77.040003,77.562783,937807.867514,550598.734016,4307.860100,2280.076196,2334.869534
38,-1,76.680001,77.397532,937821.818601,550595.477133,4314.760500,2280.076104,2336.365298
39,-1,76.319999,77.232956,937835.749020,550592.132980,4321.641600,2280.076341,2337.876529
40,-1,75.959999,77.064590,937849.687968,550588.820978,4328.718800,2280.199852,2339.571060
41,-1,75.599997,76.899186,937863.545224,550585.181878,4335.624500,2280.076231,2341.006189
42,-1,75.239998,76.735653,937877.441522,550581.695336,4342.518500,2280.200104,2342.699010
43,-1,74.880003,76.555178,937914.126160,550662.541631,4371.040500,2367.771500,2434.490444
44,-1,74.519998,76.416790,937905.103212,550574.221270,4355.931200,2280.200095,2345.812793
45,-1,74.160001,76.261260,937918.898132,550570.353824,4362.486399,2280.199846,2347.360736
46,-1,73.799999,76.160432,937932.668773,550566.400091,4366.740800,2280.199979,2348.374900
47,-1,73.439999,76.063065,937946.414153,550562.359745,4370.852600,2280.199908,2349.361782
48,-1,73.079999,75.965436,937960.133942,550558.233441,4374.979000,2280.200169,2350.359306
49,-1,72.719998,75.867519,937973.827484,550554.020523,4379.121000,2280.199945,2351.366988
50,-1,72.359999,75.769475,937987.456722,550549.603865,4383.240600,2280.076092,2352.256189
51,-1,71.999997,75.670734,938001.133860,550545.337470,4387.456200,2280.199970,2353.416055
52,-1,71.639994,75.582335,938014.706667,550540.749880,4391.173400,2280.076150,2354.218873
53,-1,71.280002,75.503090,938028.288989,550536.194771,4394.536600,2280.076168,2355.058541
54,-1,70.919999,75.416960,938070.551372,550614.553210,4421.043300,2367.899895,2446.724189
55,-1,70.559999,75.323309,938084.596619,550609.645740,4425.177400,2367.899989,2447.768446
56,-1,70.200004,75.229199,938098.567064,550604.529280,4429.301500,2367.771590,2448.692440
57,-1,69.839997,75.134573,938112.548991,550599.445629,4433.485600,2367.771427,2449.762373
58,-1,69.480000,75.059019,938126.498438,550594.274708,4436.829100,2367.771624,2450.622467
59,-1,69.119997,74.986154,938140.461009,550589.135938,4440.090200,2367.900012,2451.589286
60,-1,68.759997,74.916477,938154.298580,550583.669742,4443.143300,2367.771399,2452.257791
61,-1,68.400002,74.849388,938168.195205,550578.356104,4446.152900,2367.899856,2453.166682
62,-1,68.040001,74.785439,938182.011123,550572.835774,4448.990400,2367.899901,2453.909855
63,-1,67.679997,74.726589,938195.792263,550567.228830,4451.603200,2367.900093,2454.597024
64,-1,67.319998,74.670483,938209.537642,550561.535272,4454.095500,2367.900061,2455.254705
65,-1,66.959999,74.589659,938257.570355,550636.459663,4481.861699,2455.599870,2547.177356
66,-1,66.599999,74.504618,938271.696639,550630.254294,4485.748000,2455.466617,2548.084408
67,-1,66.239997,74.428933,938285.836702,550624.082719,4489.242199,2455.466791,2549.020312
68,-1,65.880000,74.353469,938299.991858,550617.943952,4492.766000,2455.600013,2550.096762
69,-1,65.520000,74.277677,938314.053837,550611.594555,4496.270399,2455.599859,2551.043989
70,-1,65.159999,74.201829,938328.075791,550605.157232,4499.780100,2455.600039,2551.997441
71,-1,64.800003,74.130557,938341.999976,550598.511248,4503.042500,2455.466732,2552.759331
72,-1,64.439999,74.080389,938355.996667,550592.018479,4505.404800,2455.599871,2553.534337
73,-1,64.080002,74.084325,938369.894605,550585.318033,4505.222400,2455.599992,2553.484429
74,-1,63.720003,74.095666,938383.750220,550578.530317,4504.696900,2455.600063,2553.340443
75,-1,63.360003,74.089235,938358.239773,550493.265723,4479.995100,2367.900108,2462.228524
76,-1,63.000000,74.083138,938371.517305,550486.552810,4480.267500,2367.899991,2462.303102
77,-1,62.639997,74.072912,938384.693460,550479.642719,4480.687900,2367.771642,2462.295004
78,-1,62.279998,74.057951,938397.884707,550472.763796,4481.356499,2367.771389,2462.478318
79,-1,61.919999,74.038286,938411.093013,550465.915712,4482.272300,2367.899850,2462.853522
80,-1,61.559999,74.014072,938424.197646,550458.871435,4483.355000,2367.899889,2463.151516
81,-1,61.200002,73.985123,938437.257659,550451.745137,4484.649800,2367.900036,2463.508561
82,-1,60.840001,73.975619,938450.210061,550444.424286,4485.038000,2367.771329,2463.491983
83,-1,60.480001,74.012594,938463.242187,550437.246478,4483.421100,2367.899865,2463.169697
84,-1,60.119999,73.990009,938432.413181,550353.725648,4459.231600,2280.076107,2372.080530
85,-1,59.760003,73.945612,938444.874770,550346.656765,4461.179900,2280.200072,2372.737750
86,-1,59.400002,73.959850,938457.229404,550339.402514,4460.566400,2280.200044,2372.568133
87,-1,59.039974,73.847443,937476.978740,548677.558725,3906.601899,350.799992,365.217169
88,-1,58.679988,73.671988,937478.865219,548676.418963,3907.767300,350.800021,365.543120
89,-1,58.319966,73.498084,937480.734638,548675.250987,3908.918800,350.780926,365.850209
90,-1,57.960013,73.392732,937482.616524,548674.104007,3909.626500,350.800096,366.070228
91,-1,57.599997,73.316452,937484.481350,548672.928813,3910.135299,350.800145,366.216020
92,-1,57.240010,73.240766,937486.328131,548671.725731,3910.634700,350.780828,366.341206
93,-1,56.880001,73.166442,937488.188363,548670.543319,3911.137000,350.800021,366.504730
94,-1,56.519991,73.098600,937490.030551,548669.333019,3911.590500,350.799847,366.636151
95,-1,56.159996,73.033279,937491.854694,548668.095817,3912.021800,350.781128,366.743869
96,-1,55.800012,72.969578,937493.691961,548666.878300,3912.454000,350.799917,366.888190
97,-1,55.439984,72.907108,937495.511183,548665.633552,3912.872500,350.799889,367.010951
98,-1,55.079982,72.846030,937497.322531,548664.377649,3913.282000,350.800059,367.131683
99,-1,54.720005,72.786307,937499.125677,548663.110263,3913.682600,350.799966,367.249947
100,-1,54.360026,72.727972,937500.920949,548661.831722,3914.074200,350.800067,367.366122
101,-1,53.999993,72.670916,937502.697192,548660.526279,3914.451500,350.781065,367.460183
102,-1,53.640002,72.615346,937504.476060,548659.225100,3914.824900,350.780905,367.571425
103,-1,53.280013,72.561317,937506.258209,548657.928187,3915.194200,350.799974,367.700127
104,-1,52.919982,72.508560,937508.021001,548656.604698,3915.549199,350.800016,367.806712
