"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,77.360887,941860.154357,553636.807336,4606.842300,8681.828764,8897.434778
2,-1,89.000000,77.305821,942010.150776,553548.269456,4595.959099,8594.599882,8809.942382
3,-1,87.999999,77.406529,942160.101592,553544.342954,4580.092399,8594.599981,8806.469421
4,-1,87.000000,77.626514,942309.960872,553537.799989,4545.476200,8594.600012,8798.986866
5,-1,85.999999,77.931172,942459.650861,553528.177304,4497.532500,8594.133613,8788.382004
6,-1,85.000000,78.342362,942609.223069,553516.873521,4433.230000,8594.599994,8775.619277
7,-1,83.999999,78.566062,942758.534778,553502.496581,4398.273800,8594.600136,8768.622885
8,-1,83.000000,78.799388,942907.572538,553485.515644,4361.872000,8594.599908,8761.479093
9,-1,81.999999,79.192491,943044.086044,553379.090004,4283.933399,8506.900003,8660.514266
10,-1,81.000000,79.609452,943190.926630,553357.144510,4219.857600,8506.899981,8648.728405
11,-1,80.000000,79.829452,943291.675116,553073.536809,4138.919299,8243.800067,8375.406965
12,-1,78.999999,80.009166,943433.145633,553047.316718,4112.244500,8243.799986,8370.737859
13,-1,77.999999,80.354736,943555.902934,552932.848114,4046.129500,8156.099906,8273.047846
14,-1,77.000000,80.584822,943675.149414,552816.585880,3997.910900,8068.399874,8178.574576
15,-1,75.999998,80.683902,943748.427483,552528.427663,3940.418699,7805.299901,7909.625692
16,-1,74.999999,80.785690,943880.314687,552494.319464,3926.183300,7805.300048,7907.333874
17,-1,73.999998,80.870798,944011.586734,552457.914353,3914.286900,7805.299905,7905.437511
18,-1,72.999999,80.955979,944142.203270,552419.224142,3902.386100,7805.300069,7903.558211
19,-1,71.999999,81.024332,944245.023931,552294.852343,3878.988300,7717.600007,7813.276031
20,-1,71.000000,81.085761,944258.549822,551920.424942,3815.485799,7366.800116,7456.868738
21,-1,69.999999,81.075315,944379.748399,551877.506065,3816.861999,7366.799918,7457.081917
22,-1,69.000000,81.122304,944500.179260,551832.478924,3810.672200,7366.800023,7456.124268
23,-1,67.999998,81.212442,944586.953365,551704.042501,3785.245599,7279.099996,7365.560020
24,-1,67.000001,81.262527,944704.325178,551655.425472,3778.731400,7279.099967,7364.567623
25,-1,65.999999,81.265804,944785.160318,551524.649487,3764.831800,7191.400128,7275.774125
26,-1,64.999999,81.159846,944825.244227,551313.634161,3751.169500,7016.000202,7100.345746
27,-1,64.000000,81.023862,944935.766316,551260.917731,3768.230100,7016.000114,7102.987509
28,-1,62.999999,81.008817,945005.536846,551128.139125,3756.242000,6928.300096,7014.491339
29,-1,61.999999,81.102315,945112.794177,551072.304263,3744.656000,6928.299893,7012.689787
30,-1,61.000000,81.216432,945176.543065,550937.902301,3716.971999,6840.600150,6921.777244
31,-1,60.000000,81.281666,945192.754319,550727.211122,3682.101700,6665.200005,6743.113746
32,-1,59.000001,81.370740,945292.986074,550668.170229,3671.498600,6665.200110,6741.514809
33,-1,58.000000,81.631003,945392.172227,550607.388855,3640.546100,6665.200090,6736.940173
34,-1,56.999999,81.998386,945490.282595,550544.885699,3596.924199,6665.200125,6730.729505
35,-1,55.999999,82.416212,945587.286994,550480.679790,3547.408100,6665.200046,6724.015526
36,-1,54.999999,82.774420,945481.945342,550127.432137,3460.558399,6314.399878,6364.946156
37,-1,53.999999,82.984505,945571.665635,550063.435546,3437.044299,6314.400100,6362.031630
38,-1,53.000000,83.369101,945660.255024,549997.882528,3394.052000,6314.399844,6356.923606
39,-1,51.999999,83.738043,945747.687264,549930.793751,3352.872800,6314.400114,6352.300490
40,-1,50.999998,84.069334,945833.935123,549862.188901,3315.945600,6314.399955,6348.378645
41,-1,50.000000,84.339832,945918.972355,549792.089632,3285.827600,6314.399967,6345.337432
42,-1,49.000000,84.217765,950030.319775,554353.678934,3921.069200,12453.399996,12517.087001
43,-1,47.999999,84.338642,950075.739960,554079.310717,3877.144600,12277.999995,12338.181586
44,-1,46.999999,84.452360,950054.296433,553742.120118,3826.986600,12014.899954,12071.440620
45,-1,46.000000,84.528913,950084.562121,553471.602286,3793.984400,11839.500097,11893.682490
46,-1,45.000000,84.627281,950169.931700,553264.755915,3765.226800,11751.799819,11803.657284
47,-1,44.000000,84.621244,950250.605752,553057.543403,3758.218800,11664.100113,11715.686748
48,-1,43.000000,84.737839,950326.597398,552850.064487,3726.199500,11576.400104,11625.395509
49,-1,41.999999,84.837125,950267.118514,552524.642894,3682.144700,11312.685989,11358.769479
50,-1,40.999999,84.839279,950398.410246,552377.171076,3681.771299,11313.299925,11359.347331
51,-1,39.999999,84.839489,950459.462946,552170.655085,3673.809200,11225.600017,11271.286743
52,-1,39.000000,84.865421,950447.772680,551909.094913,3652.926400,11050.200113,11094.720608
53,-1,38.000000,84.880422,950567.830839,551758.161159,3650.009999,11050.200135,11094.460006
54,-1,36.999999,84.880246,950615.196230,551552.375810,3642.186700,10962.500103,11006.411732
55,-1,35.999999,84.857794,950658.052443,551347.025499,3638.625100,10874.799982,10918.744513
56,-1,35.000000,84.813096,950696.429335,551142.205042,3639.216900,10787.100022,10831.453855
57,-1,34.000000,84.752965,950730.359057,550938.007288,3642.578400,10699.400172,10744.422942
58,-1,33.000000,84.691284,950759.874746,550734.524755,3646.045800,10611.700009,10657.413542
59,-1,32.000000,84.594884,950636.264757,550438.901003,3639.163000,10348.599856,10394.819823
60,-1,31.000000,84.476368,950655.462225,550239.732766,3652.283800,10260.899931,10308.767847
61,-1,29.999999,84.338695,950898.255375,550173.128568,3694.563100,10436.300082,10487.453466
62,-1,29.000000,84.161435,950911.243866,549972.079430,3718.210200,10348.600017,10402.563681
63,-1,27.999999,83.947595,950919.991224,549772.179239,3747.953500,10260.899879,10318.416019
64,-1,26.999999,83.806430,950924.542068,549573.514610,3764.007900,10173.200072,10232.928865
65,-1,26.000000,83.759684,950924.941673,549376.170845,3762.816800,10085.499998,10145.615560
66,-1,24.999999,83.749707,950921.238269,549180.231276,3754.988800,9997.799861,10057.584329
67,-1,23.999999,83.799090,950913.481066,548985.779237,3736.740600,9910.099823,9968.422585
68,-1,23.000000,83.787700,950901.721247,548792.896093,3729.187600,9822.400049,9880.420277
69,-1,21.999999,83.823252,950886.010977,548601.661239,3713.529700,9734.699903,9791.542627
70,-1,20.999999,83.850213,950784.529881,548380.725329,3689.996499,9559.300148,9614.630108
71,-1,20.000000,83.810744,950760.546989,548194.456673,3687.147900,9471.600043,9527.131792
72,-1,18.999999,83.793190,950732.806231,548010.077448,3680.546200,9383.900064,9439.231693
73,-1,18.000000,83.806065,950701.366005,547827.662459,3668.894700,9296.200090,9350.786311
74,-1,17.000000,83.829701,950666.286679,547647.283554,3655.533500,9208.500018,9262.157391
75,-1,16.000000,83.814243,950543.327279,547444.838421,3639.036600,9033.099914,9086.000590
76,-1,14.999999,83.786782,950500.747312,547270.218364,3633.869500,8945.400041,8998.255592
77,-1,14.000000,83.754927,950539.837785,547119.066763,3638.902100,8945.400053,8998.801666
78,-1,13.000000,83.771870,950576.284234,546967.255715,3636.225200,8945.399898,8998.510709
79,-1,12.000000,83.938719,950610.075833,546814.831807,3609.873700,8945.399929,8995.690076
80,-1,10.999999,84.223475,950641.202083,546661.841300,3564.937800,8945.399909,8991.056221
81,-1,10.000000,84.363035,950669.653470,546508.331108,3542.931100,8945.399864,8988.867896
82,-1,9.000000,84.467663,950695.421791,546354.347492,3526.439700,8945.400159,8987.263307
83,-1,7.999999,84.560499,950805.344800,546212.143052,3520.163000,9033.099943,9073.961371
84,-1,7.000000,84.616112,950651.830343,546034.460665,3494.786100,8857.699940,8896.949818
85,-1,6.000000,84.639710,950582.111322,545871.693274,3482.876900,8769.999951,8808.520054
86,-1,4.999999,84.669022,950596.781897,545719.334326,3478.350900,8770.000027,8808.098471
87,-1,3.999999,84.706236,950520.834542,545560.592190,3464.435800,8681.828673,8719.017495
88,-1,2.999999,84.708630,950355.395896,545400.195201,3447.868800,8506.899944,8543.306380
89,-1,2.000000,84.693109,950361.872261,545251.865117,3450.193199,8506.900078,8543.521185
90,-1,1.000000,84.674900,950278.072232,545101.913973,3444.745700,8419.200162,8455.693773
91,-1,0.000000,84.659171,950278.897362,544954.978572,3447.034300,8418.743005,8455.451305
92,-1,358.999999,84.695129,950278.072232,544808.043170,3441.747500,8419.200162,8455.416046
93,-1,357.999999,84.770247,950274.225455,544661.152716,3430.615600,8419.199848,8454.393797
94,-1,357.000000,84.928580,950267.816019,544514.351828,3407.160600,8419.199876,8452.288182
95,-1,356.000000,85.042656,950170.908076,544373.834065,3382.622700,8331.047732,8362.328616
96,-1,354.999999,85.109160,950072.584126,544236.483946,3365.415299,8243.799927,8273.925790
97,-1,353.999999,85.155793,950058.793799,544093.266712,3358.657000,8243.799854,8273.352261
98,-1,352.999999,85.203149,950042.506430,543950.311946,3351.794899,8243.800124,8272.775874
99,-1,352.000000,85.247943,949850.033390,543832.074321,3330.723900,8068.400146,8096.230695
100,-1,350.999999,85.232588,949829.219127,543692.802618,3332.901300,8068.400179,8096.411403
101,-1,349.999998,85.204360,949719.609438,543569.144401,3329.546500,7980.699877,8008.736669
102,-1,349.000000,85.214923,949694.226287,543432.189294,3328.064799,7980.699855,8008.612911
103,-1,348.000000,85.244214,949752.240607,543277.463882,3331.252700,8068.400145,8096.274519
104,-1,347.000000,85.296369,949721.761665,543139.983514,3323.857900,8068.399874,8095.664508
105,-1,346.000000,85.385335,949859.078320,542960.622980,3325.404000,8243.800021,8270.610695
106,-1,344.999998,85.492515,949907.765230,542798.627569,3316.798400,8331.499889,8357.348535
107,-1,344.000002,85.713716,947171.221491,543432.054780,3074.104200,5525.100087,5540.596832
108,-1,342.999999,85.554640,947227.701693,543313.954623,3096.351500,5612.800014,5629.735929
109,-1,342.000001,85.414746,947281.652044,543193.427305,3117.174700,5700.499981,5718.803086
110,-1,341.000001,85.326155,947166.873074,543127.728945,3118.851800,5612.495411,5631.220979
111,-1,339.999999,85.278609,947134.461065,543035.287857,3123.565800,5612.799987,5631.910594
112,-1,338.999999,85.256795,947100.154704,542943.530823,3125.717399,5612.800163,5632.088278
113,-1,337.999999,85.240479,947064.251888,542852.386648,3127.326800,5612.800006,5632.221431
114,-1,337.000000,85.236946,947026.483591,542762.001986,3127.649900,5612.495350,5631.944645
115,-1,335.999999,85.165312,946907.584223,542707.717974,3127.324299,5525.099858,5544.828260
116,-1,334.999999,85.085213,946788.112349,542657.034020,3127.563200,5437.400033,5457.465938
117,-1,333.999999,85.020562,946668.432798,542609.824469,3126.103500,5349.699929,5369.966648
118,-1,333.000000,84.973156,946626.772120,542526.265581,3130.563800,5349.700149,5370.355852
119,-1,332.000001,84.973478,946583.402784,542443.583004,3130.507900,5349.409631,5370.061553
120,-1,330.999999,85.021218,946538.853333,542361.533299,3126.016500,5349.409545,5369.669809
121,-1,329.999999,85.087069,946493.130327,542280.128606,3119.847299,5349.699867,5369.427177
122,-1,328.999999,85.172326,946445.493283,542199.828898,3111.804500,5349.409574,5368.455094
123,-1,328.000000,85.303208,946322.341299,542166.694778,3092.295000,5261.714436,5279.442942
124,-1,327.000001,85.497869,946199.452109,542137.005861,3067.397700,5174.019247,5190.033531
125,-1,326.000001,85.784414,946076.908062,542110.742462,3034.907300,5086.323904,5100.122189
126,-1,325.000000,86.003016,945811.119880,542188.482792,2997.018500,4823.238275,4834.998338
127,-1,323.999997,86.243733,945762.447733,542119.796250,2976.678700,4823.500014,4833.884337
128,-1,322.999999,86.516551,945712.372702,542052.123813,2953.619300,4823.499966,4832.428398
129,-1,322.000000,86.708087,945453.603535,542147.468439,2922.290900,4560.152425,4567.689422
130,-1,320.999999,86.792599,945336.095240,542140.217141,2910.642300,4472.700183,4479.717457
131,-1,320.000001,86.877987,945286.255444,542080.138521,2903.943000,4472.457264,4479.105063
132,-1,319.000001,87.008527,945169.555874,542078.159850,2889.153700,4384.999927,4390.983463
133,-1,317.999999,87.102031,945053.497380,542079.679532,2877.527300,4297.066933,4302.569273
134,-1,317.000000,87.202627,945002.830158,542024.386008,2869.964100,4297.066902,4302.193497
135,-1,315.999999,87.325649,944951.373240,541969.823125,2860.727499,4297.299992,4301.985443
136,-1,314.999999,87.440084,944898.639422,541916.493507,2852.116299,4297.066787,4301.359279
137,-1,313.999999,87.554120,944845.147731,541863.927339,2843.547500,4297.066809,4300.985102
138,-1,312.999999,87.709156,944790.746921,541812.302770,2831.900200,4297.066902,4300.503882
139,-1,311.999999,87.927469,944794.132741,541696.465404,2818.676900,4384.761934,4387.632115
140,-1,310.999997,88.094605,944736.816911,541645.756515,2805.870800,4384.762030,4387.187750
141,-1,309.999998,88.277898,944734.994408,541528.877484,2794.466200,4472.457264,4474.478197
142,-1,308.999998,88.443504,944619.574363,541547.378431,2779.145600,4384.761964,4386.380416
