"OBJECTID","FEATURE_ID","HORIZ_ANG","ZENITH_ANG","VERTEX_X","VERTEX_Y","VERTEX_Z","DIST_2D","DIST_3D"
1,-1,90.000000,78.092722,940866.025111,554073.352067,4551.485100,5787.885733,5915.163564
2,-1,89.640000,78.049705,940902.391180,554073.237894,4556.024600,5787.885808,5916.101932
3,-1,89.279999,78.005894,940937.657842,553985.516285,4542.084200,5700.500039,5827.725184
4,-1,88.919999,77.956233,940973.464857,553984.644239,4547.183099,5700.190532,5828.484231
5,-1,88.560001,77.908635,941009.279090,553984.165894,4552.201200,5700.499836,5829.835809
6,-1,88.200001,77.862814,941045.072326,553982.844374,4556.903500,5700.190737,5830.520429
7,-1,87.840001,77.810946,941080.866217,553981.606844,4562.303400,5700.190647,5831.658076
8,-1,87.479998,77.708406,941116.651907,553980.144576,4572.985000,5700.190705,5833.922768
9,-1,87.119998,77.606114,941152.427426,553978.457244,4583.649000,5700.190505,5836.202100
10,-1,86.760000,77.528396,941188.191462,553976.545502,4591.756700,5700.190634,5837.947762
11,-1,86.400000,77.463644,941223.943031,553974.409023,4598.515600,5700.190713,5839.411192
12,-1,86.039999,77.404241,941259.701818,553972.356534,4604.788200,5700.500110,5841.077876
13,-1,85.680000,77.365129,941295.402205,553969.462183,4608.805100,5700.190655,5841.653199
14,-1,85.319999,77.327771,941331.132449,553966.960548,4612.778600,5700.500095,5842.825540
15,-1,84.959998,77.297457,941366.793795,553963.617706,4615.877700,5700.190548,5843.204211
16,-1,84.600000,77.269556,941402.460390,553960.359183,4618.794800,5700.190493,5843.846290
17,-1,84.239999,77.244227,941438.137156,553957.184648,4621.513700,5700.500051,5844.747958
18,-1,83.880000,77.223881,941473.728949,553953.170221,4623.571700,5700.190462,5844.900776
19,-1,83.520000,77.202979,941509.327959,553949.240111,4625.758300,5700.190519,5845.384769
20,-1,83.159999,77.181449,941544.901706,553945.086576,4628.011000,5700.190761,5845.884386
21,-1,82.799998,77.159203,941580.448551,553940.709288,4630.339000,5700.190674,5846.401242
22,-1,82.439998,77.136602,941616.007863,553936.415333,4632.775100,5700.499866,5847.244562
23,-1,82.080000,77.068362,941615.205372,553670.709172,4579.441900,5437.105065,5578.590545
24,-1,81.720000,76.985842,941649.026826,553665.895533,4587.688299,5437.104933,5580.441653
25,-1,81.359999,76.907773,941682.817441,553660.869624,4595.494900,5437.104951,5582.204834
26,-1,81.000001,76.876353,941716.575576,553655.631446,4598.638100,5437.104875,5582.917595
27,-1,80.639998,76.856958,941750.300574,553650.181325,4600.578800,5437.104932,5583.358612
28,-1,80.280000,76.836110,941784.040008,553644.810273,4602.734300,5437.400005,5584.136450
29,-1,79.919998,76.824864,941817.643943,553638.645915,4603.790900,5437.104931,5584.089865
30,-1,79.559998,76.810897,941851.260018,553632.560954,4605.189000,5437.104808,5584.408578
31,-1,79.199998,76.803664,941884.837050,553626.265035,4605.913000,5437.104793,5584.573799
32,-1,78.839998,76.797313,941901.400665,553533.721585,4585.975900,5349.409848,5494.643191
33,-1,78.479998,76.784692,941934.413723,553527.396794,4587.287300,5349.699915,5495.225243
34,-1,78.119999,76.778838,941967.328355,553520.580535,4587.864000,5349.699948,5495.357144
35,-1,77.759998,76.784494,942000.199680,553513.557583,4587.306800,5349.699998,5495.229782
36,-1,77.399999,76.790686,942032.962738,553506.044803,4586.628600,5349.409591,5494.792052
37,-1,77.040000,76.838841,942065.741216,553498.609778,4581.885899,5349.409622,5493.710272
38,-1,76.680001,76.907327,942098.472450,553490.969045,4575.144000,5349.409773,5492.179275
39,-1,76.320000,76.987217,942151.894915,553568.330111,4587.550800,5437.105006,5580.410761
40,-1,75.960001,77.065874,942185.134022,553560.432817,4579.758200,5437.400088,5578.948876
41,-1,75.599998,77.143369,942218.178247,553551.754685,4571.951100,5437.105030,5576.918936
42,-1,75.240000,77.244908,942251.315320,553543.440069,4561.884400,5437.399817,5574.975124
43,-1,74.880000,77.351172,942284.247669,553534.347568,4551.221399,5437.104876,5572.342824
